ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom
1 3 2 9 8,0.335748,128.0109393,5315.6,9708.01,26.38221,27.39315,0.62852,192,96,24,24,0,0,0,157,0.82,0.14,0.46
1 3 2 9 9,0.293193,134.6282034,5754.8,9932.91,27.58454,28.53893,0.64308,204,108,12,0,0,0,0,157,0.77,0.04,0.11
 1  3  2 10  0,0.262623,124.8896192,6719.96,10218.3,27.55214,28.53319,0.66262,180,108,12,0,0,0,0,133,0.74,0.04,0.12
 1  3  2 10  1,0.285869,120.9554019,6169.26,10128.9,27.55214,28.53319,0.65682,180,96,12,0,12,0,0,133,0.74,0.08,0.28
 1  3  2 10  2,0.307131,123.9653355,5748.07,10027.4,27.55214,28.53319,0.65024,180,96,12,0,0,12,0,133,0.74,0.08,0.24
 1  3  2 10  3,0.364569,98.57077911,4847.97,9981.78,27.55214,28.47378,0.64728,180,96,12,0,0,0,12,133,0.74,0.08,0.23
 1  3  2 10  4,0.281993,127.1681063,6258.47,10110.1,27.55214,28.53319,0.6556,180,96,12,12,0,0,0,139,0.77,0.08,0.26
 1  3  2 10  5,0.283296,129.3777806,6332.55,10036.1,26.77687,27.62018,0.6508,180,108,12,12,0,0,0,133,0.74,0.08,0.25
 1  3  2 10  6,0.280722,129.0908895,6274.73,10072.8,27.55214,28.53319,0.65318,180,108,24,0,0,0,0,139,0.77,0.08,0.23
 1  3  2 10  7,0.282024,127.7044023,6565.29,9958.34,24.5683,25.79865,0.64576,180,120,24,0,0,0,0,133,0.74,0.07,0.22
 1  3  2 10  8,0.320766,127.7222798,5835.66,9805.67,23.73222,24.89022,0.63586,180,96,24,24,0,0,0,145,0.81,0.15,0.48
 1  3  2 10  9,0.278143,127.8778463,6334.72,10023.1,27.55214,28.53319,0.64996,192,108,12,0,0,0,0,145,0.76,0.04,0.12
 1  3  2 11  0,0.24668,120.8616292,6797.35,10644.4,27.5721,28.55873,0.68914,156,84,24,0,0,0,0,127,0.81,0.09,0.27
 1  3  2 11  1,0.269889,117.6182672,6364.26,10517.4,27.5721,28.55873,0.68092,156,72,24,0,12,0,0,127,0.81,0.14,0.45
 1  3  2 11  2,0.291117,118.2251126,6036.16,10383,27.5721,28.55873,0.67222,156,72,24,0,0,12,0,127,0.81,0.14,0.41
 1  3  2 11  3,0.348462,94.12950095,5068.04,10319.7,27.5721,28.55873,0.66812,156,72,24,0,0,0,12,127,0.81,0.14,0.4
 1  3  2 11  4,0.26602,119.301934,6485.29,10497.3,27.5721,28.55873,0.67962,156,72,24,12,0,0,0,133,0.85,0.14,0.43
 1  3  2 11  5,0.26732,122.3760468,6400.53,10515,27.58461,28.50165,0.68076,156,84,24,12,0,0,0,127,0.81,0.13,0.41
 1  3  2 11  6,0.26475,122.6163683,6447.97,10506.9,27.5721,28.55873,0.68024,156,84,36,0,0,0,0,133,0.85,0.13,0.39
 1  3  2 11  7,0.266051,124.5188505,6665.93,10372.9,27.08512,28.05035,0.67156,156,96,36,0,0,0,0,127,0.81,0.12,0.38
 1  3  2 11  8,0.30473,123.3247241,5946.48,10166.8,26.23744,27.43379,0.65822,156,72,36,24,0,0,0,139,0.89,0.21,0.67
 1  3  2 11  9,0.262175,122.4738695,6580.56,10444.5,27.5721,28.55873,0.6762,168,84,24,0,0,0,0,139,0.83,0.09,0.26
 1  3  2 12  0,0.230043,119.3693775,7228.13,10754.3,27.57294,28.55368,0.69666,156,96,12,0,0,0,0,115,0.74,0.05,0.14
 1  3  2 12  1,0.253265,120.1146304,6652.79,10671,27.57294,28.55368,0.69126,156,84,12,0,12,0,0,115,0.74,0.09,0.32
 1  3  2 12  2,0.274506,122.7585548,6217.9,10559.2,27.57294,28.55368,0.68402,156,84,12,0,0,12,0,115,0.74,0.09,0.27
 1  3  2 12  3,0.331884,94.00668112,5168.99,10508,27.57294,28.55368,0.6807,156,84,12,0,0,0,12,115,0.74,0.09,0.26
 1  3  2 12  4,0.249394,123.5684495,6770.4,10652.8,27.57294,28.55368,0.69008,156,84,12,12,0,0,0,121,0.78,0.09,0.3
 1  3  2 12  5,0.250695,124.8055568,6834.05,10597.2,27.57294,28.55368,0.68648,156,96,12,12,0,0,0,115,0.74,0.09,0.28
 1  3  2 12  6,0.248124,124.6268858,6895.46,10601.5,27.57294,28.55368,0.68676,156,96,24,0,0,0,0,121,0.78,0.09,0.26
 1  3  2 12  7,0.249425,125.1220578,6906.47,10546.5,27.27555,27.99338,0.6832,156,108,24,0,0,0,0,115,0.74,0.08,0.25
 1  3  2 12  8,0.288127,129.0289361,6143.92,10354.2,26.42619,27.41589,0.67074,156,84,24,24,0,0,0,127,0.81,0.17,0.54
 1  3  2 12  9,0.245548,124.1475856,6988.78,10558.9,27.57294,28.55368,0.684,168,96,12,0,0,0,0,127,0.76,0.04,0.13
 1  3  2 13  0,0.214727,114.7189052,7371.32,11827.7,28.99376,29.94402,0.71518,156,96,12,0,0,0,0,115,0.74,0.05,0.14
 1  3  2 13  1,0.236403,114.7793303,6790.38,11720.9,28.99376,29.94402,0.70872,156,84,12,0,12,0,0,115,0.74,0.09,0.32
 1  3  2 13  2,0.25623,117.3855247,6365.12,11606.4,28.99376,29.94402,0.7018,156,84,12,0,0,12,0,115,0.74,0.09,0.27
 1  3  2 13  3,0.309788,89.17526835,5297.37,11553.2,28.99376,29.94402,0.69858,156,84,12,0,0,0,12,115,0.74,0.09,0.26
 1  3  2 13  4,0.23279,118.0662429,6910.38,11704.6,28.99376,29.94402,0.70774,156,84,12,12,0,0,0,121,0.78,0.09,0.3
 1  3  2 13  5,0.234004,119.1820356,6921.13,11677.9,28.99376,29.94402,0.70612,156,96,12,12,0,0,0,115,0.74,0.09,0.28
 1  3  2 13  6,0.231604,120.6872779,7031.08,11656,28.99376,29.94402,0.7048,156,96,24,0,0,0,0,121,0.78,0.09,0.26
 1  3  2 13  7,0.232819,121.7041723,7007.82,11623.6,28.99376,29.75581,0.70284,156,108,24,0,0,0,0,115,0.74,0.08,0.25
 1  3  2 13  8,0.268944,121.5741037,6232.68,11425.5,28.92747,29.72586,0.69086,156,84,24,24,0,0,0,127,0.81,0.17,0.54
 1  3  2 13  9,0.229199,119.136511,7143.42,11606.7,28.99376,29.94402,0.70182,168,96,12,0,0,0,0,127,0.76,0.04,0.13
 1  3  2 14  0,0.22315,120.1546907,7046.84,13625,32.289,33.16793,0.70884,192,108,12,0,0,0,0,145,0.76,0.04,0.12
 1  3  2 14  1,0.241799,115.9859184,6438.56,13532.7,32.289,33.16793,0.70404,192,96,12,0,12,0,0,145,0.76,0.08,0.27
 1  3  2 14  2,0.258858,120.0124611,5989.62,13439.7,32.289,32.86209,0.6992,192,96,12,0,0,12,0,145,0.76,0.08,0.23
 1  3  2 14  3,0.304939,95.64846214,5083.83,13402.8,32.289,32.91457,0.69728,192,96,12,0,0,0,12,145,0.76,0.08,0.22
 1  3  2 14  4,0.23869,116.862855,6511.52,13515.4,32.289,33.16793,0.70314,192,96,12,12,0,0,0,151,0.79,0.08,0.25
 1  3  2 14  5,0.239735,119.7604926,6474.16,13507,32.289,32.96323,0.7027,192,108,12,12,0,0,0,145,0.76,0.07,0.24
 1  3  2 14  6,0.23767,119.2512951,6539.21,13490,32.289,33.16793,0.70182,192,108,24,0,0,0,0,151,0.79,0.07,0.22
 1  3  2 14  7,0.238715,120.9023981,6603.03,13450.4,31.21789,32.20228,0.69976,192,120,24,0,0,0,0,145,0.76,0.07,0.21
 1  3  2 14  8,0.269797,123.6568394,5892.67,13270.9,30.37369,31.44798,0.69042,192,96,24,24,0,0,0,157,0.82,0.14,0.46
 1  3  2 14  9,0.235601,118.495752,6601.72,13447,32.289,33.08925,0.69958,204,108,12,0,0,0,0,157,0.77,0.04,0.11
 1  3  2 16  0,0.173156,104.3399914,7871.59,16621.6,35.23405,36.06483,0.76334,168,84,12,0,0,0,0,133,0.79,0.05,0.14
 1  3  2 16  1,0.189619,100.0699742,7344.32,16487,35.23405,36.06483,0.75716,168,72,12,0,12,0,0,133,0.79,0.09,0.32
 1  3  2 16  2,0.204677,101.3951633,6942.31,16336.8,35.23405,35.98429,0.75026,168,72,12,0,0,12,0,133,0.79,0.09,0.27
 1  3  2 16  3,0.245355,80.79863516,5843.6,16280.1,35.23405,35.87502,0.74766,168,72,12,0,0,0,12,133,0.79,0.09,0.26
 1  3  2 16  4,0.186874,102.0450522,7472.82,16463.5,35.23405,36.06483,0.75608,168,72,12,12,0,0,0,139,0.83,0.09,0.3
