ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom,gas_sorption,gas_desorption,gas_desor_vstpv,gas_sor_vstpv
0 1 1 9 1,0.544593,116.4848348,3540.76,1802.33,15.08495,16.44501,0.45148,72,48,12,0,12,0,0,49,0.68,0.17,0.58,12.74090979,3.181503821,38.76777996,155.2526148
0 1 1 9 2,0.626728,113.2131622,2855.21,1751.63,15.08495,16.16038,0.43878,72,48,12,0,0,12,0,49,0.68,0.17,0.5,11.26187477,3.18856911,44.71377737,157.9269396
0 1 1 9 3,0.848608,80.62484485,2065.26,1728.08,15.08495,16.00031,0.43288,72,48,12,0,0,0,12,49,0.68,0.17,0.48,5.950578894,1.704428793,32.36327113,112.988116
0 1 1 9 4,0.529623,115.6839546,3597.79,1794.42,15.08495,16.44501,0.4495,72,48,12,12,0,0,0,55,0.76,0.17,0.54,13.47326967,3.711245883,43.97977404,159.6637286
0 1 1 9 5,0.534654,116.3284328,3404.54,1784.92,15.08532,16.34778,0.44712,72,60,12,12,0,0,0,49,0.68,0.15,0.5,13.78450503,4.060467432,48.57527631,164.9037092
0 1 1 9 6,0.524711,119.3193034,3463.83,1784.52,15.08495,16.44501,0.44702,72,60,24,0,0,0,0,55,0.76,0.15,0.46,14.31377138,4.150720195,48.73153087,168.0508343
0 1 1 9 7,0.529743,110.0934287,3750.28,1681.53,14.33609,15.56345,0.42122,72,72,24,0,0,0,0,49,0.68,0.14,0.43,13.26302458,3.97486341,47.1144216,157.2078503
0 1 1 9 8,0.679399,100.3145898,2596.51,1580.45,13.48548,15.34187,0.3959,72,48,24,24,0,0,0,61,0.85,0.29,0.93,9.953328049,3.354409464,50.9926293,151.3072191
0 1 1 9 9,0.514748,120.2082536,3463.32,1760.57,15.08495,16.25967,0.44102,84,60,12,0,0,0,0,61,0.73,0.08,0.23,14.61911037,4.182170253,48.16846474,168.3767182
 0  1  1 10  0,0.396459,133.03472,6426.26,1965.46,14.01908,15.18594,0.49436,60,60,12,0,0,0,0,37,0.62,0.09,0.27,19.38450618,4.387647772,38.92211804,171.9568381
 0  1  1 10  1,0.486624,114.6837897,5201,1876.95,13.29475,14.82327,0.4721,60,48,12,0,12,0,0,37,0.62,0.18,0.64,13.4059519,2.873194441,31.28419394,145.9679837
 0  1  1 10  2,0.569097,102.7310408,4385.11,1770.88,12.75464,14.42207,0.44542,60,48,12,0,0,12,0,37,0.62,0.18,0.55,10.7458438,2.678158219,34.10271492,136.8337558
 0  1  1 10  3,0.791885,71.54274039,3146.3,1729.37,12.56193,14.2543,0.43498,60,48,12,0,0,0,12,37,0.62,0.18,0.53,5.397356401,1.359628703,24.09066946,95.63340984
 0  1  1 10  4,0.471593,115.0922336,5351.27,1860.42,13.19824,14.7496,0.46794,60,48,12,12,0,0,0,43,0.72,0.18,0.59,14.22952118,3.322347202,35.05732658,150.1495602
 0  1  1 10  5,0.476646,115.8868759,5249.65,1830.68,13.56047,14.97533,0.46046,60,60,12,12,0,0,0,37,0.62,0.17,0.54,14.33874031,3.472685919,37.03632502,152.9232009
 0  1  1 10  6,0.466662,122.68669,5303.23,1831.87,13.14036,14.70582,0.46076,60,60,24,0,0,0,0,43,0.72,0.17,0.5,15.29026943,3.540520579,36.96885407,159.655544
 0  1  1 10  7,0.471714,123.0770845,5797.29,1773.43,11.3588,13.53835,0.44606,60,72,24,0,0,0,0,37,0.62,0.15,0.46,15.67509061,4.014192343,42.36852763,165.4456122
 0  1  1 10  8,0.621983,108.9744781,4277.46,1621.55,10.53162,12.46687,0.40786,60,48,24,24,0,0,0,49,0.82,0.31,1,11.23101629,3.400690074,47.32732915,156.3018073
 0  1  1 10  9,0.456658,120.6260391,5411.75,1780.5,12.85101,14.49169,0.44784,72,60,12,0,0,0,0,49,0.68,0.08,0.25,15.52943163,3.723953817,38.05062411,158.6766632
 0  1  1 11  0,0.334785,131.9320581,6586.71,2378.64,15.09005,17.33341,0.59584,36,36,24,0,0,0,0,31,0.86,0.25,0.75,21.28961809,3.677243311,27.54576168,159.4778198
 0  1  1 11  1,0.424582,122.3074644,5533.53,2270.22,15.09005,17.30748,0.56868,36,24,24,0,12,0,0,31,0.86,0.38,1.25,15.40100574,2.526666273,24.00357284,146.3110372
 0  1  1 11  2,0.506717,122.2077037,4868.94,2149.18,15.0873,16.76321,0.53836,36,24,24,0,0,12,0,31,0.86,0.38,1.12,13.19910512,2.420397759,27.44218228,149.649886
 0  1  1 11  3,0.728594,82.50769025,3408.42,2098.32,15.08462,16.56663,0.52562,36,24,24,0,0,0,12,31,0.86,0.38,1.1,6.27622584,1.215155059,19.80996543,102.3176557
